category,reviews,size,installs,price,suitable_for,last_update,latest_ver,app_id,popularity
FAMILY,39480,14M,"500,000+",0,Everyone,"June 16, 2017",4.1.1,4455,High
ENTERTAINMENT,29706,19M,"1,000,000+",0,Teen,"July 16, 2018",3.1.4,114,High
MAPS_AND_NAVIGATION,652,3.4M,"100,000+",0,Everyone,"May 26, 2018",116,4952,High
LIFESTYLE,707,26M,"5,000+",0,Everyone,"July 17, 2018",2.2.0,2646,High
GAME,17876,37M,"1,000,000+",0,Everyone,"December 10, 2015",1.8.6,208,High
PHOTOGRAPHY,5,5.5M,500+,0,Everyone,"January 10, 2018",1.0,973,High
COMMUNICATION,1,2.4M,10+,0,Everyone,"April 25, 2017",1.0,2921,High
PERSONALIZATION,25,46M,"1,000+",0,Everyone,"March 28, 2017",1.2,8987,Low
SPORTS,36490,Varies with device,"1,000,000+",0,Everyone,"July 25, 2018",Varies with device,2451,High
FAMILY,5369,60M,"500,000+",0,Everyone,"April 19, 2018",1.0.16,7284,High
GAME,6121,61M,"500,000+",0,Mature 17+,"June 20, 2018",2.1,8367,Low
GAME,1381820,54M,"10,000,000+",0,Teen,"March 14, 2017",3.1.1,2906,High
GAME,2691,52M,"100,000+",0,Teen,"February 22, 2017",1.2,87,Low
GAME,104583,37M,"1,000,000+",0,Everyone,"August 18, 2016",3.45,8198,High
FAMILY,20463,25M,"100,000+",$3.99,Everyone 10+,"July 18, 2018",1.2.1,8294,High
BUSINESS,13,3.8M,100+,0,Everyone,"April 23, 2018",1.0,4194,High
SOCIAL,51569,26M,"1,000,000+",0,Teen,"July 30, 2018",5.4.7,9108,High
BUSINESS,1058,23M,"500,000+",0,Everyone,"June 29, 2018",2.22.397,1700,Low
FAMILY,413,930k,"10,000+",0,Everyone,"February 15, 2016",1.6,6480,High
MAPS_AND_NAVIGATION,2681,6.3M,"100,000+",0,Everyone,"September 25, 2017",1.2.0,2449,High
NEWS_AND_MAGAZINES,6105,Varies with device,"100,000+",0,Teen,"March 11, 2016",Varies with device,3266,Low
GAME,14201891,52M,"100,000,000+",0,Everyone,"July 31, 2018",4.0.0,101,High
TOOLS,88993,1.5M,"10,000,000+",0,Everyone,"June 10, 2018",3.2.6,7942,High
FAMILY,1369,9.8M,"500,000+",0,Everyone,"March 5, 2016",1.0.3,8548,High
TRAVEL_AND_LOCAL,40,9.0M,"1,000+",$8.49,Everyone,"August 18, 2016",1.0.1,4964,Low
TRAVEL_AND_LOCAL,22748,55M,"1,000,000+",0,Everyone,"August 6, 2018",4.7.1,8359,High
SOCIAL,90082,8.8M,"1,000,000+",0,Everyone,"May 22, 2018",2.44,4563,High
GAME,331692,Varies with device,"10,000,000+",0,Everyone,"March 27, 2018",Varies with device,1597,High
GAME,2610680,46M,"100,000,000+",0,Everyone,"July 3, 2018",2.6.9,738,High
PHOTOGRAPHY,43296,Varies with device,"5,000,000+",0,Everyone,"September 20, 2017",Varies with device,8127,High
PRODUCTIVITY,6949,Varies with device,"10,000,000+",0,Everyone,"December 27, 2017",Varies with device,5074,Low
FAMILY,73,12M,"1,000+",$2.99,Everyone,"May 21, 2018",1.7.0,884,High
BUSINESS,21,Varies with device,100+,$12.99,Everyone,"January 30, 2017",Varies with device,3027,Low
PHOTOGRAPHY,77,1.2M,"1,000+",$19.99,Everyone,"October 26, 2016",1.1,6573,Low
FOOD_AND_DRINK,17,3.1M,"10,000+",0,Everyone,"March 8, 2017",1.6.3,7221,Low
FAMILY,119173,Varies with device,"10,000,000+",0,Everyone 10+,"June 21, 2018",Varies with device,2417,High
PHOTOGRAPHY,221858,Varies with device,"10,000,000+",0,Everyone,"August 1, 2018",Varies with device,2348,High
TOOLS,29,70k,"10,000+",0,Everyone,"January 14, 2015",1.4,5372,High
TOOLS,16192,1.6M,"1,000,000+",0,Everyone,"July 13, 2016",4.1.9o,526,High
GAME,34494,23M,"5,000,000+",0,Everyone 10+,"July 11, 2018",2.5.3182,8114,High
GAME,8649,39M,"1,000,000+",0,Teen,"July 26, 2018",1.0.3,1237,High
FAMILY,305765,34M,"10,000,000+",0,Everyone,"July 31, 2018",1.1.7,5011,High
AUTO_AND_VEHICLES,737,8.9M,"100,000+",0,Everyone,"June 8, 2018",2.3.5.1,7092,High
MEDICAL,2,83M,10+,0,Everyone,"July 12, 2018",1.0,9220,High
MEDICAL,5,11M,100+,0,Everyone,"August 3, 2018",1.0,5409,High
TOOLS,208,730k,"50,000+",0,Everyone,"July 28, 2014",1.0,493,Low
COMMUNICATION,60308,Varies with device,"5,000,000+",0,Everyone,"June 22, 2018",Varies with device,2039,High
BOOKS_AND_REFERENCE,98,6.3M,"10,000+",0,Everyone,"August 4, 2014",1.5,5605,High
TOOLS,7935,21M,"1,000,000+",0,Everyone,"January 8, 2018",2.4.7,9463,High
EVENTS,3782,9.5M,"100,000+",0,Everyone,"June 12, 2018",8.4,647,High
FAMILY,181961,18M,"10,000,000+",0,Everyone 10+,"July 27, 2018",3.2.5,8203,High
GAME,40,3.6M,"5,000+",0,Everyone,"March 15, 2016",2.8,8865,High
FAMILY,304,4.7M,"10,000+",0,Teen,"February 14, 2018",1.0.2,9206,Low
GAME,3878,69M,"500,000+",0,Everyone,"April 4, 2018",1.9,8545,High
COMMUNICATION,12667,34M,"1,000,000+",0,Everyone,"August 1, 2018",4.5.5.1-2090AL-REL,6443,Low
GAME,387,1.1M,"50,000+",0,Everyone,"April 16, 2011",1.3.3,4660,High
SHOPPING,181983,Varies with device,"10,000,000+",0,Everyone,"April 27, 2018",Varies with device,8350,High
NEWS_AND_MAGAZINES,2,14M,100+,0,Everyone,"July 18, 2018",v4.30.0.8,2031,Low
BUSINESS,3079,8.5M,"100,000+",0,Everyone,"August 2, 2018",5.20.7,479,High
EDUCATION,206532,21M,"10,000,000+",0,Everyone 10+,"August 1, 2018",13.9.0.161,9360,High
HEALTH_AND_FITNESS,7895,3.3M,"500,000+",0,Everyone,"July 15, 2018",3.3,5136,High
TRAVEL_AND_LOCAL,216388,19M,"10,000,000+",0,Everyone,"July 31, 2018",Varies with device,5531,High
FAMILY,20,3.5M,"1,000+",0,Everyone,"June 3, 2015",0.33,33,High
EVENTS,1953,Varies with device,"100,000+",0,Teen,"August 1, 2018",Varies with device,4896,High
ENTERTAINMENT,98509,Varies with device,"5,000,000+",0,Everyone,"June 28, 2018",Varies with device,8235,High
MEDICAL,2921,25M,"100,000+",$24.99,Everyone,"May 25, 2018",2018.5.47,5277,High
GAME,145,79M,"10,000+",0,Everyone,"July 30, 2018",1.7.6,4739,Low
TRAVEL_AND_LOCAL,25726,51M,"1,000,000+",0,Everyone,"July 24, 2018",4.20,1778,High
GAME,1295557,11M,"100,000,000+",0,Everyone,"April 11, 2018",4.0,4555,High
SPORTS,122283,Varies with device,"5,000,000+",0,Everyone 10+,"July 20, 2018",Varies with device,1651,High
LIBRARIES_AND_DEMO,831,24M,"100,000+",0,Everyone,"February 20, 2018",8.0,1647,High
FAMILY,10,22M,"1,000+",0,Everyone,"October 27, 2016",1.0,9322,Low
SHOPPING,142512,15M,"10,000,000+",0,Everyone,"July 25, 2018",6.2.0,9251,High
GAME,32522,44M,"1,000,000+",0,Everyone,"January 25, 2016",1.2.0,5989,High
EDUCATION,254519,27M,"5,000,000+",0,Everyone,"July 20, 2018",2.8.1,3988,High
GAME,58575,96M,"1,000,000+",0,Teen,"February 21, 2018",2.55,8414,High
SPORTS,15883,21M,"100,000+",0,Everyone,"June 19, 2018",2.6.0,4129,High
GAME,10485334,24M,"500,000,000+",0,Everyone,"May 25, 2018",1.4.77,7116,High
BOOKS_AND_REFERENCE,15,12M,"1,000+",0,Everyone,"November 17, 2017",1.2,2243,Low
LIFESTYLE,601,5.1M,"100,000+",0,Everyone,"December 20, 2017",1.0,3854,High
FAMILY,623398,58M,"10,000,000+",0,Everyone,"August 31, 2017",1.22.0,5388,High
GAME,59907,7.8M,"5,000,000+",0,Everyone,"March 6, 2018",2.9,1666,High
VIDEO_PLAYERS,258277,Varies with device,"10,000,000+",0,Everyone,"August 3, 2018",Varies with device,8834,High
FAMILY,1615,1.2M,"10,000+",$4.99,Everyone,"February 9, 2016",1.0.3,8210,Low
COMMUNICATION,42329,Varies with device,"5,000,000+",0,Everyone,"June 4, 2018",Varies with device,3847,Low
TOOLS,12121,79k,"1,000,000+",0,Everyone,"August 1, 2018",1.12,6760,High
HEALTH_AND_FITNESS,69395,Varies with device,"10,000,000+",0,Everyone,"August 3, 2018",Varies with device,5887,High
GAME,211,3.6M,"50,000+",0,Everyone,"January 26, 2018",2.1,6039,High
FAMILY,36268,41M,"1,000,000+",0,Teen,"April 25, 2017",3.0.15,9643,High
PHOTOGRAPHY,133,2.3M,"10,000+",0,Everyone,"May 8, 2018",1.0.2.1,5786,Low
VIDEO_PLAYERS,430643,4.9M,"50,000,000+",0,Everyone,"May 31, 2018",2.5.0,5050,Low
DATING,18,5.0M,500+,0,Mature 17+,"July 25, 2018",8.2,6750,High
MEDICAL,1,28M,50+,0,Everyone,"May 1, 2017",300000.0.81,2560,Low
HOUSE_AND_HOME,353813,Varies with device,"10,000,000+",0,Everyone,"August 1, 2018",Varies with device,5257,High
BUSINESS,25,7.9M,"5,000+",0,Everyone,"January 19, 2018",1.0.3,7455,High
FAMILY,63192,17M,"1,000,000+",0,Everyone,"July 22, 2016",1.0.0,6414,High
TOOLS,3263,3.0M,"1,000,000+",0,Everyone,"May 16, 2017",1.17,129,Low
GAME,42053,24M,"10,000,000+",0,Everyone,"June 21, 2018",4.9,6056,High
TOOLS,5745093,Varies with device,"500,000,000+",0,Everyone,"August 4, 2018",Varies with device,4945,High
DATING,11806,12M,"1,000,000+",0,Mature 17+,"June 26, 2018",4.0.18,7345,Low
SOCIAL,4831125,Varies with device,"1,000,000,000+",0,Teen,"July 26, 2018",Varies with device,4949,High
PRODUCTIVITY,11200,11M,"5,000,000+",0,Everyone,"July 23, 2018",3.1.1,6389,Low
PERSONALIZATION,6263,20M,"500,000+",0,Everyone,"July 12, 2018",7.46,6161,High
FAMILY,58795,77M,"10,000,000+",0,Everyone,"May 21, 2018",1.6,2416,High
GAME,862,44M,"100,000+",0,Everyone 10+,"March 16, 2018",1.0.4,4511,High
MEDICAL,717,5.4M,"5,000+",$5.99,Everyone,"May 31, 2018",6.5.0,6114,High
ART_AND_DESIGN,1120,9.2M,"100,000+",0,Everyone,"July 12, 2018",6.7.12.2018,7008,High
FAMILY,15,94M,50+,0,Everyone,"July 11, 2018",2.0,2125,High
GAME,454,27M,"10,000+",0,Teen,"December 2, 2014",1.0,3430,High
FAMILY,27,31M,"5,000+",0,Teen,"October 17, 2017",2.1,2482,Low
TOOLS,12215,9.1M,"5,000,000+",0,Everyone,"August 1, 2018",1.7.4,6630,High
FINANCE,7731,24M,"100,000+",0,Everyone,"August 2, 2018",2.53.2,7802,High
PERSONALIZATION,6626,9.1M,"1,000,000+",0,Everyone,"July 25, 2018",6.7.25.2018,5845,High
BEAUTY,9,3.4M,"5,000+",0,Everyone,"June 7, 2018",1.0,6019,Low
MEDICAL,496,24M,"100,000+",0,Everyone,"July 27, 2018",8.0.226,763,Low
FOOD_AND_DRINK,6512,18M,"1,000,000+",0,Everyone,"April 12, 2018",5.7.0,9028,Low
LIFESTYLE,759,15M,"50,000+",0,Everyone 10+,"January 22, 2018",1.4.5,17,High
FAMILY,7,20M,50+,0,Everyone,"September 10, 2016",1.2.0,1917,High
FAMILY,168,7.6M,"10,000+",0,Everyone,"October 2, 2017",2.0,8743,High
MEDICAL,12,3.8M,"1,000+",$16.99,Everyone,"January 27, 2017",1.0.5,29,High
TOOLS,3090680,Varies with device,"100,000,000+",0,Everyone,"July 31, 2018",Varies with device,2109,High
LIFESTYLE,220,15M,"50,000+",0,Everyone,"July 26, 2018",9.1.0,4014,High
FAMILY,10449,29M,"1,000,000+",0,Teen,"December 2, 2016",1.7,753,Low
PRODUCTIVITY,1488396,Varies with device,"100,000,000+",0,Everyone,"August 3, 2018",Varies with device,4036,High
DATING,2,70M,100+,0,Mature 17+,"July 24, 2018",2.2.9,886,High
FAMILY,4450890,67M,"100,000,000+",0,Everyone 10+,"July 31, 2018",2.347.225742,7302,High
PRODUCTIVITY,2807,9.8M,"100,000+",0,Everyone,"December 15, 2016",0.74 11.12.2016,3511,High
HOUSE_AND_HOME,7619,13M,"100,000+",0,Everyone,"July 12, 2018",1.22.0,6482,High
SOCIAL,68025,3.9M,"10,000,000+",0,Everyone,"April 16, 2018",1.0,6159,High
TOOLS,103909,9.2M,"5,000,000+",0,Everyone,"May 11, 2018",2.2.7,8748,High
VIDEO_PLAYERS,5879,Varies with device,"1,000,000+",0,Teen,"June 12, 2018",Varies with device,9495,High
COMMUNICATION,192,15M,"10,000+",0,Everyone,"February 12, 2018",v2.6.0,7069,High
SOCIAL,32,1.6M,"10,000+",0,Teen,"December 16, 2016",1.0,1263,Low
SPORTS,79464,27M,"1,000,000+",0,Everyone,"August 6, 2018",5.0.8,5781,High
GAME,21223,48M,"1,000,000+",0,Teen,"April 20, 2018",1.6.6,770,High
MEDICAL,319,Varies with device,"5,000+",$3.99,Everyone,"March 6, 2018",Varies with device,1761,High
FAMILY,284,70M,"10,000+",0,Everyone,"June 10, 2017",1.0,360,Low
NEWS_AND_MAGAZINES,10382,Varies with device,"1,000,000+",0,Everyone,"July 28, 2018",Varies with device,178,Low
PRODUCTIVITY,10270,8.4M,"1,000,000+",0,Everyone,"March 23, 2018",4.4.1,7042,High
GAME,1563,40M,"50,000+",0,Teen,"June 29, 2017",1.3.6,7716,High
PERSONALIZATION,33,857k,500+,$1.49,Everyone,"January 1, 2016",2.0,3252,High
EDUCATION,3963,Varies with device,"100,000+",0,Everyone,"June 6, 2018",Varies with device,4776,High
BOOKS_AND_REFERENCE,22401,4.6M,"500,000+",0,Everyone,"May 7, 2018",6.1.2,4929,High
EVENTS,12,29M,"1,000+",0,Everyone 10+,"June 28, 2018",42.0,3953,High
ENTERTAINMENT,10939,4.6M,"10,000,000+",0,Everyone,"April 28, 2016",2.05.0010,6254,Low
TOOLS,560,314k,"50,000+",0,Everyone,"June 8, 2018",2.1.0.032,7554,Low
WEATHER,3963,23M,"100,000+",0,Everyone,"July 17, 2018",5.2.11,9012,High
EVENTS,811,2.8M,"10,000+",0,Everyone,"May 29, 2018",3.8,3478,High
PERSONALIZATION,10093,5.5M,"1,000,000+",0,Everyone,"February 26, 2016",1.0.0,8287,High
FAMILY,1,2.0M,50+,$1.49,Everyone,"April 9, 2012",1.0,8607,Low
HEALTH_AND_FITNESS,979,Varies with device,"50,000+",0,Everyone,"December 24, 2017",Varies with device,8983,High
ENTERTAINMENT,5241,Varies with device,"5,000,000+",0,Everyone,"June 6, 2018",Varies with device,3276,Low
GAME,5291,7.2M,"100,000+",0,Teen,"May 24, 2014",2.0,3205,Low
BOOKS_AND_REFERENCE,922752,Varies with device,"10,000,000+",0,Everyone,"June 15, 2018",Varies with device,5450,High
ENTERTAINMENT,411683,24M,"50,000,000+",0,Teen,"August 2, 2018",3.0.231.18141,686,High
FAMILY,25489,62M,"1,000,000+",0,Everyone,"August 6, 2018",2.9.0,8079,High
TOOLS,2588,7.6M,"100,000+",0,Everyone,"June 27, 2018",4.7.4,4101,High
SOCIAL,225103,5.3M,"5,000,000+",0,Everyone,"June 13, 2018",5.1.1,5179,High
MEDICAL,267,2.3M,"50,000+",0,Everyone,"July 8, 2018",2.18,3687,High
VIDEO_PLAYERS,3965,6.4M,"100,000+",0,Everyone,"March 26, 2018",2.2.9,7827,Low
HEALTH_AND_FITNESS,10445,48M,"500,000+",0,Everyone,"July 2, 2018",112.0,2694,High
HEALTH_AND_FITNESS,77777,Varies with device,"1,000,000+",0,Everyone,"June 29, 2018",3.401,7539,High
GAME,293086,Varies with device,"5,000,000+",0,Everyone,"October 22, 2015",8.1,8540,High
MAPS_AND_NAVIGATION,3,26M,100+,$9.99,Everyone,"October 5, 2016",1.0.8,5467,Low
TOOLS,85079,2.8M,"1,000,000+",0,Everyone,"July 17, 2018",1.0.4,7966,High
PHOTOGRAPHY,4726,3.9M,"500,000+",0,Everyone,"June 17, 2015",v1.0,1764,Low
LIFESTYLE,53144,21M,"5,000,000+",0,Everyone,"July 13, 2018",4.8.0,8191,High
HEALTH_AND_FITNESS,1786,5.9M,"100,000+",0,Everyone,"June 12, 2018",3.5.2,5070,Low
PERSONALIZATION,32794,12M,"5,000,000+",0,Everyone,"July 31, 2018",1.284.1.83,4894,High
PHOTOGRAPHY,17,3.4M,"5,000+",0,Everyone,"July 20, 2018",1.0.0,1904,High
COMICS,24005,4.9M,"500,000+",0,Adults only 18+,"July 4, 2018",1.1.7.0,6031,High
FAMILY,944,12M,"100,000+",0,Everyone,"August 1, 2018",3.1.0,3185,High
TRAVEL_AND_LOCAL,49190,25M,"1,000,000+",0,Everyone,"June 15, 2018",7.5.0,8599,High
TOOLS,85387,5.4M,"1,000,000+",0,Everyone,"July 3, 2018",2.1.54,8734,High
FOOD_AND_DRINK,51543,Varies with device,"1,000,000+",0,Everyone,"August 1, 2018",Varies with device,1569,High
TOOLS,4,4.8M,500+,0,Everyone,"April 3, 2018",3.0,1053,Low
FAMILY,52,55M,"10,000+",$2.99,Everyone,"August 8, 2017",1.2.1,6923,Low
GAME,9882639,74M,"100,000,000+",0,Everyone,"July 16, 2018",5.064,3458,High
FAMILY,520609,Varies with device,"10,000,000+",0,Everyone,"June 28, 2018",Varies with device,5243,High
FAMILY,1,16M,10+,$2.99,Everyone,"October 7, 2016",1.0,7963,Low
MEDICAL,66,1.2M,"50,000+",0,Everyone,"October 25, 2016",1.0,6899,Low
COMMUNICATION,3419513,Varies with device,"1,000,000,000+",0,Everyone,"July 21, 2018",Varies with device,5118,High
GAME,1019,39M,"100,000+",0,Teen,"July 23, 2018",1.0.7,2635,High
GAME,45,4.1M,"10,000+",0,Teen,"August 26, 2016",1.1,1818,Low
TOOLS,999,91k,"100,000+",0,Everyone,"December 17, 2013",3.2,489,Low
FINANCE,20535,Varies with device,"500,000+",0,Everyone,"July 31, 2018",Varies with device,2607,High
PERSONALIZATION,28694,2.9M,"1,000,000+",0,Everyone,"January 14, 2018",1.4.6,5901,Low
SHOPPING,28560,Varies with device,"1,000,000+",0,Everyone,"July 23, 2018",Varies with device,9623,High
COMMUNICATION,104990,10M,"5,000,000+",0,Everyone,"May 15, 2018",3.5.0,4699,High
PRODUCTIVITY,29,35M,"5,000+",0,Everyone,"July 26, 2018",1.23,6210,High
PHOTOGRAPHY,12726,15M,"1,000,000+",0,Everyone,"July 21, 2018",4.9.18,4106,High
HEALTH_AND_FITNESS,12029,4.3M,"1,000,000+",0,Everyone,"August 4, 2018",2.6,1596,High
SPORTS,28895,82M,"5,000,000+",0,Teen,"August 2, 2018",4.4.15,4279,High
EDUCATION,9321,27M,"1,000,000+",0,Everyone,"July 18, 2018",2.9.0,3982,High
PERSONALIZATION,40704,Varies with device,"100,000+",$4.49,Everyone,"March 16, 2018",Varies with device,7870,High
GAME,208501,56M,"1,000,000+",0,Teen,"July 23, 2018",2.8.307,5299,High
SPORTS,121003,Varies with device,"10,000,000+",0,Everyone,"August 6, 2018",Varies with device,4023,High
TRAVEL_AND_LOCAL,620534,9.8M,"10,000,000+",0,Everyone,"July 30, 2018",5.7.3,9051,High
MEDICAL,6,16M,500+,0,Everyone,"August 4, 2018",Human Dx,5278,High
AUTO_AND_VEHICLES,22,97M,"1,000+",0,Everyone,"January 31, 2018",1.0,7437,Low
FINANCE,15247,28M,"1,000,000+",0,Everyone,"July 13, 2018",3.0.5,8010,Low
BEAUTY,2225,52M,"500,000+",0,Everyone,"February 28, 2018",1.6,1514,High
SOCIAL,6086,3.1M,"1,000,000+",0,Teen,"June 14, 2018",1.0.9,4636,High
FAMILY,8,3.8M,500+,0,Everyone,"January 12, 2018",2.0,9209,High
COMMUNICATION,497,36M,"100,000+",0,Everyone,"July 17, 2018",8.6.2,4034,Low
GAME,35,3.1M,"10,000+",0,Everyone,"July 29, 2016",1.0.0,7742,High
FAMILY,1218,4.0M,"50,000+",0,Everyone,"May 13, 2017",3.0,1860,High
FAMILY,16190,88M,"1,000,000+",0,Everyone,"April 24, 2018",2.1.1,1462,High
GAME,10485308,24M,"500,000,000+",0,Everyone,"May 25, 2018",1.4.77,7116,High
VIDEO_PLAYERS,93638,7.3M,"10,000,000+",0,Mature 17+,"July 11, 2018",3.2.2,8762,High
MEDICAL,453,11M,"100,000+",0,Everyone,"July 7, 2017",1.1,654,High
MEDICAL,726,Varies with device,"5,000+",$3.99,Everyone,"March 5, 2018",Varies with device,6025,High
BOOKS_AND_REFERENCE,1065,2.3M,"500,000+",0,Everyone,"June 16, 2018",1.5,6756,High
FAMILY,130689,57M,"5,000,000+",0,Everyone 10+,"August 3, 2018",1.32,4849,Low
FINANCE,2,5.0M,"1,000+",0,Everyone,"March 3, 2018",2.0,8223,Low
BOOKS_AND_REFERENCE,577550,Varies with device,"10,000,000+",0,Everyone,"August 2, 2018",Varies with device,9097,High
EDUCATION,9348,Varies with device,"1,000,000+",0,Everyone,"June 1, 2016",Varies with device,6390,High
FAMILY,31970,77M,"1,000,000+",0,Everyone,"June 7, 2017",1.8,2721,High
HEALTH_AND_FITNESS,117176,Varies with device,"5,000,000+",0,Everyone,"July 7, 2018",Varies with device,9190,High
HEALTH_AND_FITNESS,1140,5.5M,"500,000+",0,Teen,"January 10, 2017",1.5,858,High
MEDICAL,2951,16M,"50,000+",0,Everyone,"July 11, 2018",4.5.2,3651,High
FAMILY,1652,71M,"100,000+",0,Everyone,"July 11, 2018",10,5238,Low
VIDEO_PLAYERS,277,6.8M,"10,000+",0,Everyone,"July 16, 2016",1.01,1127,High
SPORTS,63650,4.6M,"1,000,000+",0,Everyone,"August 3, 2018",7.0.2,4372,High
COMMUNICATION,483565,20M,"10,000,000+",0,Everyone,"July 29, 2018",1.286,2323,High
FINANCE,913,70k,"100,000+",0,Everyone,"July 20, 2012",1.0,1207,Low
SOCIAL,3781467,Varies with device,"100,000,000+",0,Mature 17+,"August 2, 2018",Varies with device,1407,High
FAMILY,14774,19M,"1,000,000+",0,Everyone,"July 23, 2018",1.9.3901,5471,High
SPORTS,1539,14M,"50,000+",0,Teen,"June 6, 2018",3.0.3,5822,High
GAME,187972,99M,"5,000,000+",0,Teen,"July 11, 2018",1.05.20,5823,High
PERSONALIZATION,11244,2.2M,"1,000,000+",0,Everyone,"June 12, 2018",1.1.1,7552,High
ENTERTAINMENT,470089,Varies with device,"50,000,000+",0,Everyone,"August 3, 2018",3.43.3,9228,High
PHOTOGRAPHY,125616,Varies with device,"10,000,000+",0,Everyone,"March 10, 2017",Varies with device,7466,High
FAMILY,23060,21M,"1,000,000+",0,Everyone,"July 26, 2018",1.19,3326,High
TOOLS,85,19M,"1,000+",0,Everyone,"July 5, 2018",1.20,3763,High
COMMUNICATION,10790289,Varies with device,"500,000,000+",0,Everyone,"July 26, 2018",Varies with device,5672,High
SPORTS,32386,19M,"1,000,000+",0,Everyone,"August 1, 2018",7.8.0,9195,High
FAMILY,86961,99M,"10,000,000+",0,Everyone,"June 5, 2018",2.0.1,6838,High
SOCIAL,344921,Varies with device,"10,000,000+",0,Everyone,"June 7, 2018",Varies with device,8330,High
LIFESTYLE,113,20M,"1,000+",0,Everyone,"September 30, 2016",3.0.0,989,High
SPORTS,68072,40M,"5,000,000+",0,Everyone,"July 26, 2018",1.1.7,5722,High
BUSINESS,4571,3.9M,"500,000+",0,Everyone,"July 8, 2018",3.3,2766,High
GAME,4041,24M,"10,000+",0,Everyone,"June 27, 2017",1.5.14,4483,High
PERSONALIZATION,55525,22M,"10,000,000+",0,Everyone,"February 26, 2018",1.2.7,5565,High
EDUCATION,11,63M,"1,000+",$3.99,Everyone,"July 24, 2017",1.0,7635,High
MEDICAL,292,2.7M,"100,000+",0,Everyone,"April 16, 2018",43.0,5293,Low
MAPS_AND_NAVIGATION,453,36M,"10,000+",$2.99,Everyone,"April 2, 2018",4.3,6890,High
FINANCE,57493,Varies with device,"1,000,000+",0,Everyone,"July 31, 2018",Varies with device,7490,High
PRODUCTIVITY,10672,6.9M,"100,000+",0,Everyone,"June 23, 2018",2.1.1,1538,High
SOCIAL,305367,46M,"10,000,000+",0,Everyone,"August 1, 2018",16.7.1,4453,High
BOOKS_AND_REFERENCE,116507,5.0M,"1,000,000+",0,Teen,"August 1, 2018",2.0.075,4616,High
FAMILY,54,4.3M,"10,000+",0,Everyone,"April 30, 2018",1.0,8345,Low
HEALTH_AND_FITNESS,69395,Varies with device,"10,000,000+",0,Everyone,"August 3, 2018",Varies with device,5887,High
GAME,326042,10M,"10,000,000+",0,Teen,"June 6, 2014",3.1.7,2321,High
TOOLS,268,2.4M,"10,000+",0,Everyone,"February 21, 2018",3.0.0,71,High
FAMILY,214,67M,"5,000+",$4.99,Everyone,"December 13, 2017",3.3.1,8030,High
FAMILY,8,14M,10+,0,Everyone,"August 1, 2018",1.1,2008,High
GAME,12,18M,50+,0,Everyone,"July 31, 2017",Varies with device,1579,High
TOOLS,37,2.2M,"5,000+",0,Everyone,"March 9, 2015",0.0.0.2,3110,High
BOOKS_AND_REFERENCE,20,3.4M,"1,000+",0,Everyone,"June 8, 2015",4.6.1,2844,High
GAME,1686,4.6M,"100,000+",0,Teen,"April 20, 2015",3.1.0,8708,High
GAME,271214,Varies with device,"10,000,000+",0,Teen,"July 25, 2018",Varies with device,5636,High
FAMILY,7000,26M,"1,000,000+",0,Teen,"August 2, 2018",3.0.2,1882,High
ART_AND_DESIGN,295237,Varies with device,"10,000,000+",0,Everyone,"July 30, 2018",Varies with device,8335,High
COMMUNICATION,2063,4.5M,"100,000+",0,Everyone,"June 3, 2018",1.0.3,7037,High
FAMILY,2614,6.3M,"100,000+",0,Mature 17+,"April 14, 2015",1.0.8,9207,High
FINANCE,35518,Varies with device,"1,000,000+",0,Everyone,"July 2, 2018",Varies with device,5412,Low
TOOLS,40934,5.2M,"1,000,000+",0,Everyone,"July 28, 2018",acremotecontrol18,8739,Low
BUSINESS,6,7.7M,"1,000+",0,Everyone,"August 7, 2018",2.1.5,4177,High
FINANCE,57,4.0M,"5,000+",0,Everyone,"December 15, 2017",4.1,7474,Low
NEWS_AND_MAGAZINES,9,17M,500+,0,Everyone,"June 4, 2018",1.0.3,425,High
PARENTING,247,28M,"100,000+",0,Everyone,"March 19, 2018",1.3.0,3176,High
FAMILY,38517,17M,"1,000,000+",0,Teen,"August 2, 2018",2.29.2,9230,High
DATING,923,44M,"100,000+",0,Mature 17+,"August 2, 2018",3.4.1.1,1593,High
MEDICAL,2570,3.8M,"100,000+",0,Everyone,"May 10, 2017",1.2.6,310,High
MEDICAL,30,887k,500+,0,Everyone,"May 27, 2016",1.1,9103,Low
FAMILY,1130,77M,"100,000+",0,Teen,"May 15, 2018",1.4,8868,High
LIFESTYLE,13565,3.3M,"1,000,000+",0,Everyone,"August 5, 2018",2.5,4858,High
TOOLS,11,11M,"1,000+",0,Everyone,"August 5, 2016",1.7.2,2958,Low
HEALTH_AND_FITNESS,11506,15M,"100,000+",0,Everyone,"August 2, 2018",3.0.0,35,High
FAMILY,598975,39M,"10,000,000+",0,Everyone,"January 17, 2018",2.4.0,8986,High
HOUSE_AND_HOME,22584,16M,"1,000,000+",0,Everyone,"July 16, 2018",4.7.13,776,High
GAME,88901,73M,"10,000,000+",0,Teen,"May 24, 2018",11.0.0,8058,High
EDUCATION,52743,5.4M,"1,000,000+",0,Everyone,"December 25, 2017",3.5.2,5751,High
GAME,13714,41M,"1,000,000+",0,Everyone 10+,"April 15, 2017",1.0.4,8042,High
PRODUCTIVITY,3,4.8M,100+,0,Everyone,"June 5, 2018",2.0,1315,High
